TMDL TARGET DATE(S) ++,NOTE,BASIN,HUC,LOCATION,STATION,COUNTY,USE,CAUSE
"2008, 2008",*,CATAWBA,030501040111,LK WATEREE AT SMALL ISLAND 2.3 MI N OF DAM,CW-209,KERSHAW,AL,TP
"2008, 2008",*,CATAWBA,030501040111,LAKE WATEREE 1.0 MI SW FROM MOUTH OF BEAVER CK,RL-02314,KERSHAW,AL,PH
"2008, 2008",*,CATAWBA,030501040111,LAKE WATEREE 1.0 MI SW FROM MOUTH OF BEAVER CK,RL-02314,KERSHAW,AL,TP
"2008, 2008",*,CATAWBA,030501040111,LAKE WATEREE NEARSHORE ALONG S-28-802 OPP COLONEL CK CONFL,RL-03336,KERSHAW,AL,PH
"2008, 2008",*,CATAWBA,030501040111,LAKE WATEREE NEARSHORE ALONG S-28-802 OPP COLONEL CK CONFL,RL-03336,KERSHAW,AL,TP
,,,,,,,,
2009,*,CATAWBA,030501040202,GRANNIES QUARTER CK AT SC 97,CW-237,KERSHAW,REC,FC
,,,,,,,,
2010,,CATAWBA,030501040206,BEAR CK AT S-40-82,CW-229,RICHLAND,AL,DO
,,,,,,,,
2013,,CATAWBA,030501040207,TWENTYFIVE MILE CK AT S-28-05 3.7 MI W OF CAMDEN,CW-080,KERSHAW,AL,BIO
,,,,,,,,
2017,,CATAWBA,030501040208,WATEREE RIVER BELOW LAKE WATEREE DAM,CW-039,KERSHAW,FISH,HG
,,,,,,,,
2008,*,CATAWBA,030501040302,LITTLE PINE TREE CREEK AT S-28-132,CW-223,KERSHAW,REC,FC
,,,,,,,,
2010,,CATAWBA,030501040304,WATEREE RIVER @ I-20,CW-214,KERSHAW,AL,DO
2017,,CATAWBA,030501040304,WATEREE RIVER @ I-20,CW-214,KERSHAW,FISH,HG
,,,,,,,,
2011,,CATAWBA,030501040305,SWIFT CK AT S-28-12,CW-082,KERSHAW,AL,DO
"2016, 2011",,CATAWBA,030501040305,SWIFT CK AT SC 261,CW-238,KERSHAW,AL,CU
"2016, 2011",,CATAWBA,030501040305,SWIFT CK AT SC 261,CW-238,KERSHAW,AL,DO
2017,,CATAWBA,030501040406,WATEREE RIVER @ US 378/76,CW-206,SUMTER,FISH,HG
,,,,,,,,
2017,,CATAWBA,030501040407,BIG LAKE @ SUMTER WATEREE HUNT CLUB,CW-698,SUMTER,FISH,HG
,,,,,,,,
2019,,EDISTO,030502030101,CHINQUAPIN CREEK AT S-02-210,E-606,AIKEN,AL,BIO
,,,,,,,,
2010,,EDISTO,030502030102,LIGHTWOOD KNOT CK OFF S-32-77 AT BATESBURG WATER INTAKE,E-101,LEXINGTON,REC,FC
,,,,,,,,
2020,,EDISTO,030502030103,N FORK EDISTO RVR AT S-02-74,E-084,AIKEN,AL,NH3N
,,,,,,,,
2017,,EDISTO,030502030106,N FORK EDISTO RVR AT S-02-110,E-102,AIKEN,FISH,HG
,,,,,,,,
2014,,EDISTO,030502030206,BULL SWP CK AT CLVT ON UNIMP RD 1.1 MI NW OF SWANSEA,E-034,LEXINGTON,AL,DO
2015,,EDISTO,030502030206,BULL SWAMP CREEK AT SC 6,E-591,LEXINGTON,AL,BIO
,,,,,,,,
2014,,EDISTO,030502030208,BULL SWP CK AT US 321 0.9 MI S OF SWANSEA,E-035,LEXINGTON,REC,FC
,,,,,,,,
2009,*,EDISTO,030502030210,N FORK EDISTO RVR AT SC 3 5.5 MI NW NORTH,E-092,ORANGEBURG,REC,FC
2017,,EDISTO,030502030210,NORTH EDISTO RIVER @ SLAB LANDING,E-704,ORANGEBURG,FISH,HG
,,,,,,,,
2009,*,EDISTO,030502030304,N FORK EDISTO RVR AT S-38-74 NW ORANGEBURG,E-099,ORANGEBURG,REC,FC
,,,,,,,,
2008,*,EDISTO,030502030306,CAW CAW SWAMP AT S-38-1032 (1148?),E-105,ORANGEBURG,REC,FC
,,,,,,,,
2017,,EDISTO,030502030308,N FORK EDISTO RVR AT US 601 AT ORANGEBURG,E-007,ORANGEBURG,FISH,HG
2010,#,EDISTO,030502030308,N FORK EDISTO RVR AT US 601 AT ORANGEBURG,E-007,ORANGEBURG,AL,PH
2009,*,EDISTO,030502030308,N FORK EDISTO RVR 4 MI BL E-007 AT A CABIN,E-007B,ORANGEBURG,REC,FC
2017,,EDISTO,030502030308,N FORK EDISTO RVR AT POLICEMANS CAMP 6 MI BL E-007,E-007C,ORANGEBURG,FISH,HG
2009,*,EDISTO,030502030308,NORTH EDISTO RIVER @ SEC RD 39,E-008,ORANGEBURG,REC,FC
2017,,EDISTO,030502030308,NORTH EDISTO RIVER @ SEC RD 39,E-008,ORANGEBURG,FISH,HG
2017,,EDISTO,030502030308,NORTH EDISTO RIVER @ KILL KARE,E-008A,ORANGEBURG,FISH,HG
,,,,,,,,
2012,,EDISTO,030502040106,HILLYER BRANCH AT UNNAMED HILLYER BRANCH ROAD OFF S-19-75 3.5 MI NE OF TRENTON,RS-03344,EDGEFIELD,AL,PH
,,,,,,,,
2010,,EDISTO,030502040107,SHAW CREEK AT S-02-26 4.2 MI NE AIKEN,E-094,AIKEN,AL,PH
,,,,,,,,
2008,*,EDISTO,030502040109,S FORK EDISTO RVR AT S-02-152,E-113,AIKEN,REC,FC
,,,,,,,,
2017,,EDISTO,030502040207,SOUTH EDISTO RIVER @ AIKEN STATE PARK,E-585,AIKEN,FISH,HG
2017,,EDISTO,030502040207,SOUTH EDISTO RIVER @ KEADLE'S BRIDGE,E-600,AIKEN,FISH,HG
,,,,,,,,
2013,,EDISTO,030502040305,WINDY HILL CRK. AT SR 38,E-029,BARNWELL,AL,BIO
,,,,,,,,
2017,,EDISTO,030502040307,SOUTH EDISTO RIVER @ HWY 39 LANDING,E-011,BARNWELL,FISH,HG
,,,,,,,,
2013,,EDISTO,030502040309,ROBERTS SWAMP AT SR 690,E-592,ORANGEBURG,AL,BIO
,,,,,,,,
2017,,EDISTO,030502040311,SOUTH EDISTO RIVER @ BOBCAT LANDING,E-500,BAMBERG,FISH,HG
2017,,EDISTO,030502040311,SOUTH EDISTO RIVER @ SC 365,E-501,BAMBERG,FISH,HG
,,,,,,,,
2008,*,EDISTO,030502050101,LITTLE BULL CK CK AT SC 33-BL UTICA TOOL CO,E-076,ORANGEBURG,AL,PH
2013,,EDISTO,030502050101,GRAMBLING CRK. AT SR 154,E-589,ORANGEBURG,AL,BIO
2015,,EDISTO,030502050101,BULL SWAMP AT SR 65,E-590,ORANGEBURG,AL,BIO
,,,,,,,,
2013,,EDISTO,030502050105,GOODBYS SWAMP AT US 176 6 M SW OF ELLOREE,RS-01036,ORANGEBURG,AL,BIO
,,,,,,,,
2017,,EDISTO,030502050108,FOUR HOLE SWAMP @ US 301,E-048,ORANGEBURG,FISH,HG
2017,,EDISTO,030502050108,FOUR HOLE SWP AT S-38-50 5.2 MI SE OF CAMERON,E-059,ORANGEBURG,FISH,HG
2009,*,EDISTO,030502050108,FOUR HOLE SWAMP AT SC 210,E-111,ORANGEBURG,REC,FC
2013,,EDISTO,030502050108,UNNAMED TRIBUTARY TO FOUR HOLE SWAMP AT CO RD S-38-92 5.5 MI NE OF BOWMAN,RS-04537,ORANGEBURG,AL,BIO
,,,,,,,,
2017,,EDISTO,030502050202,DEAN SWAMP AT US 176,E-030,BERKELEY,REC,FC
,,,,,,,,
"2014, 2014",,EDISTO,030502050302,PROVIDENCE SWP AT E FRONTAGE RD TO I-95 NW OF HOLLY HILL,E-051,ORANGEBURG,AL,CU
"2014, 2014",,EDISTO,030502050302,PROVIDENCE SWP AT E FRONTAGE RD TO I-95 NW OF HOLLY HILL,E-051,ORANGEBURG,AL,DO
2014,,EDISTO,030502050305,FOUR HOLE SWAMP AT SC 453,E-112,DORCHESTER,AL,DO
2017,,EDISTO,030502050305,FOUR HOLE SWAMP AT SC 453,E-112,DORCHESTER,FISH,HG
,,,,,,,,
2010,,EDISTO,030502050311,4 HOLE SWP AT US 78 E OF DORCHESTER,E-100,DORCHESTER,REC,FC
,,,,,,,,
2011,,EDISTO,030502060103,EDISTO RIVER @ ZIG ZAG LANDING,E-013,BAMBERG,REC,FC
2017,,EDISTO,030502060103,EDISTO RIVER @ ZIG ZAG LANDING,E-013,BAMBERG,FISH,HG
,,,,,,,,
2009,*,EDISTO,030502060105,CATTLE CK AT S-18-19,E-108,DORCHESTER,AL,PH
,,,,,,,,
2011,,EDISTO,030502060106,EDISTO RIVER NEAR THE END OF FISHTALE RD SAMPLE OFF OF DOCK BETWEEN WHITE TRAILER AND BRICK HOUSE 6.5 MI SE OF BRACHVILLE,RS-06180,DORCHESTER,REC,FC
,,,,,,,,
2017,,EDISTO,030502060108,EDISTO RIVER @ US 15 (T COKE WEEKS LDG..),E-014,DORCHESTER,FISH,HG
,,,,,,,,
2011,,EDISTO,030502060203,POLK SWP AT UNIMP RD S-18-180 2 MI S OF ST GEORGE,E-016,DORCHESTER,AL,DO
2011,,EDISTO,030502060203,POLK SWAMP AT S-18-19,E-109,DORCHESTER,AL,DO
,,,,,,,,
2014,,EDISTO,030502060204,INDIAN FIELD SWAMP AT S-18-19,E-032,DORCHESTER,AL,DO
,,,,,,,,
2017,,EDISTO,030502060301,EDISTO RIVER @ MARS OLDFIELD,E-601,COLLETON,FISH,HG
,,,,,,,,
2017,,EDISTO,030502060302,EDISTO RIVER @ SC 61 (GIVHANS FERRY LDG.),E-015,DORCHESTER,FISH,HG
2017,,EDISTO,030502060302,EDISTO RIVER @ GOOD HOPE LANDING,E-602,COLLETON,FISH,HG
,,,,,,,,
2017,,EDISTO,030502060303,EDISTO RIVER @ SULLIVANS FERRY,E-087,COLLETON,FISH,HG
,,,,,,,,
2017,,EDISTO,030502060304,EDISTO RIVER ABOVE HWY 17 (MARTINS LANDING),CSTL-589,CHARLESTON,FISH,HG
2017,,EDISTO,030502060304,EDISTO RIVER BELOW HWY 17 (WEST BANK LDG..),MD-119,COLLETON,FISH,HG
,,,,,,,,
2017,,EDISTO,030502060306,EDISTO RIVER @ WILLTOWN BLUFF,CSTL-590,CHARLESTON,FISH,HG
,,,,,,,,
2019,,EDISTO,030502060307,ST. PIERRE CREEK MOUTH ,13-03,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060307,ST. PIERRE CREEK AT PETERS PT.,13-04,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060307,FISHING CREEK AT SANDY CREEK CONFLUENCE OF SHINGLE CREEK AND BAILEY CREEK (D7-01),13-05,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060307,STORE CREEK OPPOSITE HOUSE WITH DOCKS ON RIGHT,13-07,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060307,FISHING CREEK AT POLLUTION LINE,13-10,COLLETON,SHELLFISH,FC
2019,,EDISTO,030502060307,SHINGLE CREEK AND MILTON CREEK CONFLUENCE,13-28,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060307,"BAILEY CREEK, FIRST BEND ADJACENT TO BLUFF ON BAILEYISLAND (NEAR CONFLUENCE WITH ST. PIERRE CREEK) (C7-01)",13-29,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060307,BAILEY CREEK AT CONFLUENCE WITH UNNAMED TRIBUTARY NEAR SOUTHWESTERN POINT OF SCANAWAH ISLAND (C7-01),13-30,CHARLESTON,SHELLFISH,FC
,,,,,,,,
2019,,EDISTO,030502060308,SCOTT CREEK AT THE MOUND,13-01,COLLETON,SHELLFISH,FC
2019,,EDISTO,030502060308,EDISTO RIVER AT ASHEPOO RIVER RUSSELL CREEK AT AREA 12/13 BOUNDARY (1993-98),13-08,COLLETON,SHELLFISH,FC
2019,,EDISTO,030502060308,ALLIGATOR CREEK AND S. FORK EDISTO RVR NORTHERN CONFLUENCE,13-20,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060308,BIG BAY CR. HDWTRS AT FIRST BEND TO RIGHT PAST THE NECK,13-21,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060308,"SCOTT CREEK, HEADWATERS AT JEREMY INLET AT BOAT LANDING ",13-22,COLLETON,SHELLFISH,FC
2019,,EDISTO,030502060308,JEREMY INLET AT ATLANTIC OCEAN,13-23,COLLETON,SHELLFISH,FC
2019,,EDISTO,030502060308,FRAMPTON INLET AT NORTH END OF JEREMY CAY,13-24,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060308,FRAMPTON INLET AT ATLANTIC OCEAN,13-25,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060308,FRAMPTON INLET CREEK UPSTREAM OF BOATRAMP PAST FIRST BEND (C6-01),13-27,COLLETON,SHELLFISH,FC
2019,,EDISTO,030502060308,BAILEY CREEK AT CONFLUENCE WITH SOUTH EDISTO RIVER,13-31,CHARLESTON,SHELLFISH,FC
2019,,EDISTO,030502060308,SOUTH EDISTO RIVER W BOUNDARY OF 1000 FOOT RESTRICTED RADIUS @ STATION 02 (CONFLUENCE OF BIG BAY CREEK),13-32,CHARLESTON,SHELLFISH,FC
"2017, 2010",#,EDISTO,030502060308,S EDISTO RVR AT NORTHERN CONFLUENCE WITH ALLIGATOR CREEK (13-20),MD-260,CHARLESTON,AL,CU
"2017, 2010",#,EDISTO,030502060308,S EDISTO RVR AT NORTHERN CONFLUENCE WITH ALLIGATOR CREEK (13-20),MD-260,CHARLESTON,AL,TURBIDITY
"2014, 2010",,EDISTO,030502060308,"SOUTH EDISTO RIVER, 1 M MW OF EDISTO BEACH",RO-01123,COLLETON,AL,NH3N
"2014, 2010",,EDISTO,030502060308,"SOUTH EDISTO RIVER, 1 M MW OF EDISTO BEACH",RO-01123,COLLETON,AL,TURBIDITY
,,,,,,,,
2008,*,EDISTO,030502060401,TOOGOODOO CREEK SSG AT LAST CREEK BEFORE FORK,12B-34,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060401,"TOOGOODOO CREEK LOWER, AT PUBLIC BOAT RAMP",12B-35,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060401,TOOGOODOO CREEK AT THE SECOND BEND PAST THE CONFLUENCE WITH LOWER TOOGOODOO CREEK,12B-45,CHARLESTON,SHELLFISH,FC
,,,,,,,,
2018,,EDISTO,030502060402,STONO RIVER (AIWW) AT MARKER #63,11-15,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060402,RAVEN POINT CREEK AT CONFLUENCE WITH CHURCH CREEK,12A-29,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060402,"CHURCH CREEK AT DRAINAGE DISCHARGE 1/8 MILE EAST OF POWER LINES, NORTH BANK OF ",12A-38,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060402,PINE CREEK AT FIRST FORK,12A-40,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060402,CHURCH CREEK AND NEW CUT CONFLUENCE,12A-41,CHARLESTON,SHELLFISH,FC
,,,,,,,,
2020,,EDISTO,030502060403,UNNAMED CREEK TO LEADENWAH CREEK 3.7 MI NW OF ROCKVILLE,RT-052099,CHARLESTON,AL,TURBIDITY
,,,,,,,,
2009,*,EDISTO,030502060404,BOHICKET CREEK AT FICKLING CREEK,12A-13,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060404,S.C. HIGHWAY 700 BRIDGE OVER BOHICKET CREEK,12A-14,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060404,BOHICKET CREEK OPPOSITE HOOPSTICK ISLAND,12A-20,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060404,BOHICKETT  CREEK OPPOSITE OLD DAM BEHIND RAST HOUSE RESTAURANT,12A-21,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060404,BOHICKETT CREEK OPPOSITE BOY SCOUT CAMP,12A-22,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060404,CHURCH CREEK ~ 350 YDS WEST S.C. HWY.700 BRIDGE,12A-39,CHARLESTON,SHELLFISH,FC
2009,*,EDISTO,030502060404,BOHICKET CREEK MIDWAY BETWEEN STATIONS 21 AND 22 AT SMALL UNNAMED TRIBUTARY ON WEST BANK,12A-46,CHARLESTON,SHELLFISH,FC
2014,,EDISTO,030502060404,CHURCH CR AT SC 700 1 MI SW OF CEDAR SPRINGS,MD-195,CHARLESTON,AL,DO
2014,,EDISTO,030502060404,BOHICKET CK AT FICKLING CK,MD-209,CHARLESTON,AL,DO
2014,,EDISTO,030502060404,BOHICKET CK 3 MI SW SC 700 BRIDGE,RO-036041,CHARLESTON,AL,DO
,,,,,,,,
2008,*,EDISTO,030502060405,DAWHO RIVER AT MARKER #119 (C8/00),12B-09,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060405,TOM POINT CREEK AT PARK ISLAND,12B-30,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060405,RUSSELL CREEK AT ESTUARY ENTERING SUNBELT CLAM FARMS,12B-43,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060405,SAND CREEK BRIDGE AT HIGHWAY 174,12B-47,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060405,SAND  CREEK AT INTAKE TO WESTENDORF CLAM FARM,12B-50,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060405,WHOOPING ISLAND CREEK AT CONFLUENCE OF STEAMBOAT CREEK ,12B-52,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060405,"DAWHO RIVER, MARKER #126 ",12B-53,CHARLESTON,SHELLFISH,FC
2008,*,EDISTO,030502060405,TOM POINT CREEK 3 BENDS US STATION 3,12B-54,CHARLESTON,SHELLFISH,FC
2014,,EDISTO,030502060405,DAWHO RVR AT SC 174 9 MI N OF EDISTO BCH SP,MD-120,CHARLESTON,AL,DO
"2014, 2010",,EDISTO,030502060405,"DAWHO RIVER, 10.5 M N OF EDISTO BEACH",RT-01665,CHARLESTON,AL,DO
"2014, 2010",,EDISTO,030502060405,"DAWHO RIVER, 10.5 M N OF EDISTO BEACH",RT-01665,CHARLESTON,AL,TURBIDITY
2010,,EDISTO,030502060405,FISHING CK NEAR JEHOSSEE ISLAND,RT-02005,CHARLESTON,AL,TURBIDITY
,,,,,,,,
2013,,PEEDEE,030402010402,THOMPSON CRK. AT SC 109,PD-673,CHESTERFIELD,AL,BIO
2010,,PEEDEE,030402010402,CLAY CREEK AT S-13-55,RS-02305,CHESTERFIELD,AL,DO
,,,,,,,,
2010,,PEEDEE,030402010403,"DEEP CREEK 75 FT UPSTREAM OF SC 9, 5.5 M W OF CHESTERFIELD",RS-01013,CHESTERFIELD,AL,TURBIDITY
,,,,,,,,
2013,,PEEDEE,030402010407,NORTH PRONG CRK. AT SC 102,PD-677,CHESTERFIELD,AL,BIO
,,,,,,,,
2010,,PEEDEE,030402010501,WESTFIELD CREEK AT US 52,PD-339,CHESTERFIELD,AL,PH
2013,,PEEDEE,030402010501,WESTFIELD CREEK AT SR 62,PD-641,CHESTERFIELD,AL,BIO
,,,,,,,,
"2017, 2017",,PEEDEE,030402010504,GREAT PEE DEE RIVER @ SC 9/US 1,PD-012,CHESTERFIELD,AL,CU
"2017, 2017",,PEEDEE,030402010504,GREAT PEE DEE RIVER @ SC 9/US 1,PD-012,CHESTERFIELD,AL,PB
2017,,PEEDEE,030402010504,GREAT PEE DEE RIVER @ SC 9/US 1,PD-012,CHESTERFIELD,FISH,HG
,,,,,,,,
"2021, 2021",,PEEDEE,030402010509,CEDAR CREEK AT US 52,PD-151,CHESTERFIELD,AL,CU
"2021, 2021",,PEEDEE,030402010509,CEDAR CREEK AT US 52,PD-151,CHESTERFIELD,AL,NI
2017,,PEEDEE,030402010510,GREAT PEE DEE RVR AT US 15 & 401,PD-015,DARLINGTON,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402010606,LAKE HB ROBINSON,PD-327,CHESTERFIELD,FISH,HG
,,,,,,,,
2009,*,PEEDEE,030402010702,BOGGY SWAMP AT S-16-50 4.9 MI NE OF HARTSVILLE,RS-03507,DARLINGTON,REC,FC
,,,,,,,,
2009,*,PEEDEE,030402010704,BLACK CK AT S-16-18 1 MI NNE HARTSVILLE,PD-021,DARLINGTON,REC,FC
2010,,PEEDEE,030402010704,SNAKE BR AT RR AVE IN HARTSVILLE,PD-258,DARLINGTON,AL,DO
2009,*,PEEDEE,030402010704,SNAKE BR AT RR AVE IN HARTSVILLE,PD-258,DARLINGTON,REC,FC
2016,,PEEDEE,030402010704,"BLACK CREEK NEAR DIRT ROAD OFF COUNTY RD 41, 6 M NE OF HARTSVILLE",RS-01043,DARLINGTON,AL,CU
,,,,,,,,
"2010, 2014",,PEEDEE,030402010707,"60"" TILE DISCHARGING TO DITCH ACROSS RD AT DARLINGTON STP",PD-141,DARLINGTON,AL,DO
"2010, 2014",,PEEDEE,030402010707,"60"" TILE DISCHARGING TO DITCH ACROSS RD AT DARLINGTON STP",PD-141,DARLINGTON,AL,NH3N
2010,,PEEDEE,030402010707,"60"" TILE DISCHARGING TO DITCH ACROSS RD AT DARLINGTON STP",PD-141,DARLINGTON,REC,FC
2016,,PEEDEE,030402010707,TRIBUTARY TO SWIFT CREEK AT COUNTY RD 213 JUST NORTH OF DARLINGTON,RS-01023,DARLINGTON,AL,CU
2008,*,PEEDEE,030402010707,TRIBUTARY TO SWIFT CREEK AT COUNTY RD 213 JUST NORTH OF DARLINGTON,RS-01023,DARLINGTON,REC,FC
,,,,,,,,
2016,,PEEDEE,030402010709,BLACK CK AT US 401 & 52 6 MI NW DARLINGTON,PD-024A,DARLINGTON,AL,CU
2009,*,PEEDEE,030402010709,BLACK CK AT S-16-133 2.25 MI NE OF DARLINGTON,PD-025,DARLINGTON,REC,FC
2010,,PEEDEE,030402010709,BLACK CK AT S-16-133 2.25 MI NE OF DARLINGTON,PD-025,DARLINGTON,AL,PH
,,,,,,,,
2017,,PEEDEE,030402010710,BLACK CREEK @ SC 327,PD-623,FLORENCE,FISH,HG
"2018, 2018",,PEEDEE,030402010710,ASHBY BRANCH AT CULVERT ON S-21-1511(CLARK ST) WHICH IS NEXT TO QUINBY UNITED METHODIST CHURCH,RS-06027,FLORENCE,AL,DO
"2018, 2018",,PEEDEE,030402010710,ASHBY BRANCH AT CULVERT ON S-21-1511(CLARK ST) WHICH IS NEXT TO QUINBY UNITED METHODIST CHURCH,RS-06027,FLORENCE,AL,PH
2018,,PEEDEE,030402010710,ASHBY BRANCH AT CULVERT ON S-21-1511(CLARK ST) WHICH IS NEXT TO QUINBY UNITED METHODIST CHURCH,RS-06027,FLORENCE,REC,FC
,,,,,,,,
2017,,PEEDEE,030402010805,GREAT PEE DEE RIVER @ BLUE'S LANDING,PD-242,MARLBORO,FISH,HG
"2016, 2016",,PEEDEE,030402010805,"THREE CREEKS AT SC 38, S OF BLENHEIM",PD-367,MARLBORO,AL,ZN
"2016, 2016",,PEEDEE,030402010805,"THREE CREEKS AT SC 38, S OF BLENHEIM",PD-367,MARLBORO,AL,CU
2017,,PEEDEE,030402010808,GREAT PEE DEE RIVER @ SC 34,PD-028,DARLINGTON,AL,CU
2017,,PEEDEE,030402010808,GREAT PEE DEE RIVER @ SC 34,PD-028,DARLINGTON,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402010810,LOUTHER'S LAKE,PD-666,DARLINGTON,FISH,HG
,,,,,,,,
2010,,PEEDEE,030402010901,MIDDLE SWP AT SC 51 3.5 MI SSE OF FLORENCE,PD-230,FLORENCE,AL,DO
2008,*,PEEDEE,030402010901,MIDDLE SWP AT SC 51 3.5 MI SSE OF FLORENCE,PD-230,FLORENCE,REC,FC
,,,,,,,,
2016,,PEEDEE,030402010902,"GULLEY BR AT S-21-13, TIMROD PARK",PD-065,FLORENCE,AL,PH
2010,,PEEDEE,030402010902,JEFFRIES CK AT SC 340 6.8 MI SSW OF DARLINGTON,PD-255,DARLINGTON,AL,DO
2010,,PEEDEE,030402010902,JEFFRIES CK AT S-21-112 4.8 MI W OF FLORENCE,PD-256,FLORENCE,AL,DO
2009,*,PEEDEE,030402010902,JEFFRIES CK AT S-21-112 4.8 MI W OF FLORENCE,PD-256,FLORENCE,REC,FC
2013,,PEEDEE,030402010902,JEFFERIES CREEK AT S-16-13,PD-639,DARLINGTON,AL,BIO
,,,,,,,,
2008,*,PEEDEE,030402010904,WILLOW CREEK AT S-21-57,PD-167,FLORENCE,REC,FC
2013,,PEEDEE,030402010904,WILLOW CREEK AT SC 327,PD-630,FLORENCE,AL,BIO
,,,,,,,,
2016,,PEEDEE,030402010905,JEFFRIES CK AT UN# RD 3.3 MI ESE OF CLAUSSEN,PD-231,FLORENCE,AL,CU
,,,,,,,,
2017,,PEEDEE,030402011003,GREAT PEE DEE RIVER @ HWY 301,PD-337,FLORENCE,FISH,HG
,,,,,,,,
2014,,PEEDEE,030402011102,SMITH SWP AT US 501 1.9 MI SSE OF MARION,PD-187,MARION,AL,DO
2014,,PEEDEE,030402011102,SMITH SWP AT S-34-19 1 MI E OF MARION,PD-320,MARION,AL,DO
,,,,,,,,
2010,,PEEDEE,030402011105,CATFISH CANAL AT S-34-34 6 MI SW OF MARION,PD-097,MARION,AL,DO
,,,,,,,,
2017,,PEEDEE,030402011201,GREAT PEE DEE RIVER @ DEWITT BLUFF,PD-622,FLORENCE,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402011202,GREAT PEE DEE RIVER @ POSTON (ELLISON'S),PD-076,FLORENCE,FISH,HG
2017,,PEEDEE,030402011202,GREAT PEE DEE RIVER @ BOSTICK,PD-662,FLORENCE,FISH,HG
,,,,,,,,
2013,,PEEDEE,030402020101,HILLS CREEK AT S-13-105,PD-333,CHESTERFIELD,AL,BIO
,,,,,,,,
2013,,PEEDEE,030402020103,NORTH BRANCH OF WILDCAT CRK. AT SR 178,PD-679,LANCASTER,AL,BIO
,,,,,,,,
2013,#,PEEDEE,030402020104,FLAT CR. AT US 601,PD-182,LANCASTER,AL,BIO
2016,#,PEEDEE,030402020104,FLAT CREEK AT S-29-123,PD-342,LANCASTER,AL,CU
,,,,,,,,
2015,,PEEDEE,030402020105,LYNCHES RVR AT SC 9 W OF PAGELAND,PD-113,CHESTERFIELD,AL,CU
2013,,PEEDEE,030402020105,HILLS CREEK AT S-13-545,PD-366,CHESTERFIELD,AL,BIO
,,,,,,,,
2008,*,PEEDEE,030402020201,TODD'S BR AT S-29-564 1.5 MI NE OF KERSHAW,PD-005,LANCASTER,REC,FC
2009,*,PEEDEE,030402020201,HORTON CREEK AT S-29-95,PD-335,LANCASTER,REC,FC
2013,,PEEDEE,030402020201,LITTLE LYNCHES R. AT SR 88,PD-640,LANCASTER,AL,BIO
,,,,,,,,
2013,,PEEDEE,030402020202,HANGING ROCK CRK. AT SR 770,PD-669,LANCASTER,AL,BIO
2008,*,PEEDEE,030402020202,UNNAMED TRIBUTARY TO HANGING ROCK CREEK AT CULVERT ON CO RD S-29-773. 3.25 MI SSE OF KERSHAW.,RS-04549,LANCASTER,REC,FC
,,,,,,,,
2008,*,PEEDEE,030402020203,LITTLE LYNCHES RVR AT US 601 2 MI NE KERSHAW,PD-006,LANCASTER,REC,FC
2013,,PEEDEE,030402020203,LITTLE LYNCHES R. AT SC 157,PD-632,LANCASTER,AL,BIO
,,,,,,,,
2015,,PEEDEE,030402020206,LITTLE LYNCHES RIVER AT S-28-42,PD-343,KERSHAW,AL,PH
,,,,,,,,
2013,#,PEEDEE,030402020301,FORK CK AT UN# RD 1.5 MI SW JEFFERSON,PD-068,CHESTERFIELD,AL,BIO
2015,#,PEEDEE,030402020301,LITTLE FORK CK AT S-13-265 1.5 MI SW JEFFERSON,PD-215,CHESTERFIELD,AL,CU
2013,#,PEEDEE,030402020301,LITTLE FORK CRK. AT CO.RD. 39 UPSTREAM OF BREWER GOLD MINE,PD-647,CHESTERFIELD,AL,BIO
